target_class,target_family,target_role,mechanism_granularity,reference_data_types,clinical_status,essentiality_level,cellular_localization,resistance_relevance,organism_scope,benchmark_aliases,min_reference_ligands,sequence_mapping_required,pocket_mapping_required,confidence_policy,notes
DHFR,folate metabolism,direct_viability_target,protein,biochemical;binding;cellular,approved,high,cytosolic,medium,broad_Gram_positive_and_Gram_negative,DHFR,30,yes,yes,moderate_if_reference_size_ge_30,Species-specific resistance and folate uptake must be checked
DHPS,folate metabolism,direct_viability_target,protein,biochemical;cellular,approved,high,cytosolic,medium,broad_Gram_positive_and_Gram_negative,DHPS,30,yes,yes,moderate_if_reference_size_ge_30,Sulfonamide mechanism and permeability vary by species
FabI,fatty-acid synthesis,direct_viability_target,protein,biochemical;binding;cellular,validated_or_preclinical,high,cytosolic,low,broad_Gram_positive_and_Gram_negative,FabI,30,yes,yes,moderate_if_reference_size_ge_30,FabK/FabL bypass requires species and pathway review
FabH,fatty-acid synthesis,direct_viability_target,protein,biochemical;cellular,preclinical,medium,cytosolic,low,broad_Gram_positive_and_Gram_negative,,10,yes,yes,low_if_reference_size_lt_30,Family chemistry requires pathway redundancy controls
FtsZ,cytokinesis,direct_viability_target,protein,biochemical;binding;cellular,preclinical,high,cytosolic,low,broad_Gram_positive_and_Gram_negative,,30,yes,yes,moderate_if_reference_size_ge_30,Polymerization state and assay format must be retained
GyrB,DNA gyrase,direct_viability_target,protein,biochemical;binding;cellular,approved,high,cytosolic,high,broad_Gram_positive_and_Gram_negative,Gyrase/TopoIV,30,yes,yes,moderate_if_reference_size_ge_30,ATPase versus gyrase-complex evidence must be distinguished
TopoIV,topoisomerase IV,direct_viability_target,protein_complex,biochemical;binding;cellular,approved,high,cytosolic,high,broad_Gram_positive_and_Gram_negative,Gyrase/TopoIV,30,yes,yes,moderate_if_reference_size_ge_30,ParC/ParE complex and species-specific resistance mutations matter
RpoB,RNA polymerase,direct_viability_target,protein_complex,biochemical;binding;cellular,approved,high,cytosolic,medium,broad_Gram_positive_and_Gram_negative,RpoB,30,yes,yes,moderate_if_reference_size_ge_30,Rifamycin resistance is frequent
LeuRS,aminoacyl-tRNA synthetase,direct_viability_target,protein,biochemical;binding;cellular,approved_topical,high,cytosolic,medium,broad_with_species_route_constraints,LeuRS,30,yes,yes,moderate_if_reference_size_ge_30,Mupirocin precedent is strongest for staphylococci
MurA,peptidoglycan precursor biosynthesis,direct_viability_target,protein,biochemical;binding;cellular,approved,high,cytosolic,high,broad_Gram_positive_and_Gram_negative,MurA,30,yes,yes,moderate_if_reference_size_ge_30,Fosfomycin uptake and resistance are organism-specific
MurC,peptidoglycan precursor biosynthesis,direct_viability_target,protein,biochemical;binding;cellular,preclinical,high,cytosolic,low,broad_bacteria,,30,yes,yes,moderate_if_reference_size_ge_30,Substrate specificity and pathway context required
MurE,peptidoglycan precursor biosynthesis,direct_viability_target,protein,biochemical;cellular,preclinical,high,cytosolic,low,broad_bacteria,,10,yes,yes,low_if_reference_size_lt_30,Substrate specificity is highly organism-dependent
LpxA,lipid A biosynthesis,direct_viability_target,protein,biochemical;binding;cellular,preclinical,high,cytosolic,medium,Gram_negative,Lipid-A/membrane,10,yes,yes,low_if_reference_size_lt_30,Envelope pathway and cellular accessibility are critical
