target_class,n_valid_ligands,n_unique_scaffolds,scaffold_fraction,n_chembl_targets,n_with_pchembl,median_pchembl,assay_types,organism_counts,minimum_reference_ligands,quality_grade,clinical_status,target_role,sequence_mapping_required,pocket_mapping_required,evidence_warning
DHFR,232,47,0.2025862068965517,2,232,7.32,"{""IC50"": 207, ""Ki"": 25}","{""C. albicans"": 185, ""E. coli"": 47}",30.0,usable,approved,direct_viability_target,yes,yes,Species-specific resistance and folate uptake must be checked
DHPS,22,12,0.5454545454545454,3,22,5.6899999999999995,"{""IC50"": 21, ""Kd"": 1}","{""B. anthracis"": 2, ""Bacteria"": 1, ""E. coli"": 19}",30.0,low,approved,direct_viability_target,yes,yes,Sulfonamide mechanism and permeability vary by species
FabI,331,143,0.43202416918429004,3,331,6.08,"{""IC50"": 306, ""Ki"": 25}","{""B. subtilis"": 9, ""E. coli"": 41, ""S. aureus"": 281}",30.0,usable,validated_or_preclinical,direct_viability_target,yes,yes,FabK/FabL bypass requires species and pathway review
FabH,6,6,1.0,2,6,5.75,"{""IC50"": 4, ""Kd"": 2}","{""E. coli"": 5, ""H. influenzae"": 1}",10.0,low,preclinical,direct_viability_target,yes,yes,Family chemistry requires pathway redundancy controls
FtsZ,67,41,0.6119402985074627,4,67,4.62,"{""IC50"": 53, ""Kd"": 14}","{""B. subtilis"": 2, ""E. coli"": 30, ""M. tuberculosis"": 21, ""S. aureus"": 14}",30.0,usable,preclinical,direct_viability_target,yes,yes,Polymerization state and assay format must be retained
GyrB,253,91,0.35968379446640314,3,253,7.04,"{""IC50"": 252, ""Ki"": 1}","{""E. coli"": 72, ""S. aureus"": 147, ""S. pneumoniae"": 34}",30.0,usable,approved,direct_viability_target,yes,yes,ATPase versus gyrase-complex evidence must be distinguished
TopoIV,190,116,0.6105263157894737,3,190,6.05,"{""IC50"": 189, ""Ki"": 1}","{""E. coli ParC"": 41, ""E. coli ParE"": 20, ""S. aureus complex"": 129}",30.0,usable,approved,direct_viability_target,yes,yes,ParC/ParE complex and species-specific resistance mutations matter
RpoB,41,21,0.5121951219512195,2,41,6.301,"{""IC50"": 41}","{""Escherichia coli K-12"": 31, ""Mycobacterium tuberculosis"": 10}",30.0,usable,approved,direct_viability_target,yes,yes,Rifamycin resistance is frequent
LeuRS,79,26,0.3291139240506329,2,79,6.7,"{""IC50"": 61, ""Kd"": 1, ""Ki"": 17}","{""Escherichia coli (strain K12)"": 28, ""Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)"": 51}",30.0,usable,approved_topical,direct_viability_target,yes,yes,Mupirocin precedent is strongest for staphylococci
MurA,94,53,0.5638297872340425,1,94,4.805,"{""IC50"": 94}","{""E. coli"": 94}",30.0,usable,approved,direct_viability_target,yes,yes,Fosfomycin uptake and resistance are organism-specific
MurC,167,74,0.4431137724550898,4,167,5.28,"{""IC50"": 162, ""Kd"": 4, ""Ki"": 1}","{""E. coli"": 28, ""E. coli MurF"": 68, ""S. aureus"": 26, ""S. pneumoniae MurF"": 45}",30.0,usable,preclinical,direct_viability_target,yes,yes,Substrate specificity and pathway context required
