target_class,target_family,target_role,mechanism_granularity,reference_data_types,clinical_status,essentiality_level,cellular_localization,resistance_relevance,organism_scope,benchmark_aliases,min_reference_ligands,sequence_mapping_required,pocket_mapping_required,confidence_policy,notes,parent_target_class,target_subtype,binding_site_or_mechanism
PBP1A,peptidoglycan transpeptidation,direct_viability_target,protein,biochemical;binding;cellular,approved,high,periplasmic,high,broad_bacteria,PBP,10,yes,yes,moderate_if_reference_size_ge_10,PBP1A labels are target-family/site evidence and must not be confused with broad PBP phenotypic assays,PBP,PBP1A,transpeptidase_or_transglycosylase
PBP1B,peptidoglycan transpeptidation,direct_viability_target,protein,biochemical;binding;cellular,approved,high,periplasmic,high,broad_bacteria,PBP,10,yes,yes,moderate_if_reference_size_ge_10,Retain organism and assay context because PBP1B chemistry is species-dependent,PBP,PBP1B,transpeptidase_or_transglycosylase
PBP2,peptidoglycan transpeptidation,direct_viability_target,protein,biochemical;binding;cellular,approved,high,periplasmic,high,broad_bacteria,PBP,10,yes,yes,moderate_if_reference_size_ge_10,Separate PBP2 from PBP2a and PBP2x,PBP,PBP2,transpeptidase_or_transglycosylase
PBP2B,peptidoglycan transpeptidation,direct_viability_target,protein,biochemical;binding;cellular,approved,high,periplasmic,high,Gram_positive,PBP,10,yes,yes,moderate_if_reference_size_ge_10,Mostly Gram-positive reference context,PBP,PBP2B,transpeptidase
PBP2X,peptidoglycan transpeptidation,direct_viability_target,protein,biochemical;binding;cellular,approved,high,periplasmic,high,Gram_positive,PBP,10,yes,yes,moderate_if_reference_size_ge_10,Keep PBP2X distinct from PBP2B,PBP,PBP2X,transpeptidase
PBP3,peptidoglycan transpeptidation,direct_viability_target,protein,biochemical;binding;cellular,approved,high,periplasmic,high,broad_bacteria,PBP,10,yes,yes,moderate_if_reference_size_ge_10,Use direct molecular assignments rather than cell-only labels,PBP,PBP3,transpeptidase
PBP4,peptidoglycan transpeptidation,direct_viability_target,protein,biochemical;binding;cellular,validated_or_preclinical,medium,periplasmic,medium,broad_bacteria,PBP,10,yes,yes,low_if_reference_size_lt_10,Lower essentiality and redundancy require organism-specific interpretation,PBP,PBP4,transpeptidase
Beta-lactamase_class_A,beta-lactam resistance,resistance_target,protein,biochemical;binding;cellular,approved_resistance_target,variable,periplasmic,high,Gram_negative_and_selected_Gram_positive,Beta-lactamase,10,yes,yes,moderate_if_reference_size_ge_10,Resistance-modifying target; class assignment follows Ambler nomenclature or named CTX-M/TEM/SHV/KPC/PSE/GES enzymes,Beta-lactamase,class_A,serine_beta_lactamase
Beta-lactamase_class_B,beta-lactam resistance,resistance_target,protein,biochemical;binding;cellular,approved_resistance_target,variable,periplasmic,high,Gram_negative_and_selected_Gram_positive,Beta-lactamase,10,yes,yes,moderate_if_reference_size_ge_10,Metallo-beta-lactamase resistance-modifying target; do not treat as direct bactericidal target,Beta-lactamase,class_B,metallo_beta_lactamase
Beta-lactamase_class_C,beta-lactam resistance,resistance_target,protein,biochemical;binding;cellular,approved_resistance_target,variable,periplasmic,high,Gram_negative,Beta-lactamase,10,yes,yes,moderate_if_reference_size_ge_10,Class C/AmpC/ADC assignment requires named or explicit class evidence,Beta-lactamase,class_C,serine_beta_lactamase
Beta-lactamase_class_D,beta-lactam resistance,resistance_target,protein,biochemical;binding;cellular,approved_resistance_target,variable,periplasmic,high,Gram_negative,Beta-lactamase,10,yes,yes,moderate_if_reference_size_ge_10,Class D/OXA assignment requires named or explicit class evidence,Beta-lactamase,class_D,serine_beta_lactamase
30S_aminoglycoside,protein synthesis,direct_viability_target,complex,biochemical;binding;cellular,approved,high,cytosolic,medium,broad_bacteria,Ribosome,10,yes,yes,moderate_if_reference_size_ge_10,Decoding-center or aminoglycoside-site evidence only; broad 30S records remain parent-family evidence,30S_ribosome,aminoglycoside_site,decoding_center
30S_tetracycline,protein synthesis,direct_viability_target,complex,biochemical;binding;cellular,approved,high,cytosolic,medium,broad_bacteria,Ribosome,10,yes,yes,moderate_if_reference_size_ge_10,Tetracycline-site evidence only; do not merge with aminoglycoside chemistry,30S_ribosome,tetracycline_site,tRNA_A_site
50S_macrolide,protein synthesis,direct_viability_target,complex,biochemical;binding;cellular,approved,high,cytosolic,medium,broad_bacteria,Ribosome,10,yes,yes,moderate_if_reference_size_ge_10,Macrolide tunnel binding-site evidence,50S_ribosome,macrolide_site,exit_tunnel
50S_oxazolidinone,protein synthesis,direct_viability_target,complex,biochemical;binding;cellular,approved,high,cytosolic,medium,broad_bacteria,Ribosome,10,yes,yes,moderate_if_reference_size_ge_10,Oxazolidinone/peptidyl-transferase-center evidence,50S_ribosome,oxazolidinone_site,peptidyl_transferase_center
50S_pleuromutilin,protein synthesis,direct_viability_target,complex,biochemical;binding;cellular,approved,high,cytosolic,medium,broad_bacteria,Ribosome,10,yes,yes,moderate_if_reference_size_ge_10,Pleuromutilin site evidence,50S_ribosome,pleuromutilin_site,peptidyl_transferase_center
50S_chloramphenicol,protein synthesis,direct_viability_target,complex,biochemical;binding;cellular,approved,high,cytosolic,medium,broad_bacteria,Ribosome,10,yes,yes,moderate_if_reference_size_ge_10,Chloramphenicol site evidence,50S_ribosome,chloramphenicol_site,peptidyl_transferase_center
