target_class,target_family,chemical_reference_coverage,clinical_validation,essentiality_or_fitness,cellular_accessibility,resistance_relevance,compatible_organisms,organism_filter_note
DHFR,folate metabolism,high,approved antibacterial target,high,cytosolic,medium,"Klebsiella pneumoniae;Bacillus cereus;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Staphylococcus aureus;Enterococcus faecium;Pseudomonas aeruginosa;Enterobacter spp.",Trimethoprim mechanism; species-specific resistance and folate uptake must be considered
DHPS,folate metabolism,high,approved antibacterial target,high,cytosolic,medium,"Klebsiella pneumoniae;Bacillus cereus;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Staphylococcus aureus;Enterococcus faecium;Pseudomonas aeruginosa;Enterobacter spp.",Sulfonamide mechanism; resistance and permeability vary by species
FabI,fatty-acid synthesis,high,validated/preclinical depending on organism,high,cytosolic,low,"Klebsiella pneumoniae;Bacillus cereus;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Staphylococcus aureus;Pseudomonas aeruginosa;Enterobacter spp.",Target essentiality and FabK/FabL bypass should be checked
FabH,fatty-acid synthesis,low,preclinical,medium,cytosolic,low,"Klebsiella pneumoniae;Bacillus cereus;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Staphylococcus aureus;Pseudomonas aeruginosa;Enterobacter spp.",Family-level chemistry; use sequence and pathway redundancy controls
FtsZ,cytokinesis,medium,preclinical,high,cytosolic,low,"Klebsiella pneumoniae;Bacillus cereus;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Staphylococcus aureus;Enterococcus faecium;Pseudomonas aeruginosa;Enterobacter spp.",Strong biological rationale but limited clinical translation
GyrB,DNA gyrase,high,approved antibacterial target via fluoroquinolone class,high,cytosolic,high,"Klebsiella pneumoniae;Bacillus cereus;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Staphylococcus aureus;Enterococcus faecium;Pseudomonas aeruginosa;Enterobacter spp.",Gyrase/topoisomerase family; sequence and resistance mutations required
TopoIV,topoisomerase IV,medium,approved antibacterial target via fluoroquinolone class,high,cytosolic,high,"Klebsiella pneumoniae;Bacillus cereus;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Staphylococcus aureus;Enterococcus faecium;Pseudomonas aeruginosa;Enterobacter spp.",ParC/ParE composition varies by organism and can overlap with gyrase chemistry
LpxA,lipid A biosynthesis,low,preclinical,high,cytosolic,medium,"Klebsiella pneumoniae;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Pseudomonas aeruginosa;Enterobacter spp.",Gram-negative envelope target; cellular permeability is a major filter
LpxC,lipid A biosynthesis,medium,clinical-development/preclinical,high,cytosolic,medium,"Klebsiella pneumoniae;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Pseudomonas aeruginosa;Enterobacter spp.",Strong Gram-negative rationale; clinical translation has been limited by exposure/toxicity
LpxH,lipid A biosynthesis,low,preclinical,high,cytosolic,medium,"Klebsiella pneumoniae;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Pseudomonas aeruginosa;Enterobacter spp.",Gram-negative target; species distribution and permeability need checking
MurA,peptidoglycan precursor biosynthesis,high,approved antibacterial target via fosfomycin,high,cytosolic,high,"Klebsiella pneumoniae;Bacillus cereus;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Staphylococcus aureus;Enterococcus faecium;Pseudomonas aeruginosa;Enterobacter spp.",Fosfomycin resistance and uptake pathways are organism-specific
MurC,peptidoglycan precursor biosynthesis,medium,preclinical,high,cytosolic,low,"Klebsiella pneumoniae;Bacillus cereus;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Pseudomonas aeruginosa;Enterobacter spp.",Family target with strong essentiality but limited clinical precedent
MurE,peptidoglycan precursor biosynthesis,low,preclinical,high,cytosolic,low,"Klebsiella pneumoniae;Bacillus cereus;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Pseudomonas aeruginosa;Enterobacter spp.",Family target with sequence/substrate specificity requirements
PBP2a,penicillin-binding protein/transpeptidase,low,approved resistance target in MRSA,high,periplasmic/extracellular,high,"Staphylococcus aureus",Do not transfer MRSA PBP2a priority to Gram-negative organisms
Beta-lactamase,beta-lactam resistance enzyme,none in current reference set,approved resistance target class,variable,periplasmic,high,"Klebsiella pneumoniae;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Pseudomonas aeruginosa;Enterobacter spp.;Staphylococcus aureus",Resistance target rather than universal viability target; enzyme family and inhibitor mechanism matter
RpoB,RNA polymerase,none in current reference set,approved antibacterial target via rifamycins,high,cytosolic,medium,"Klebsiella pneumoniae;Escherichia coli;Proteus mirabilis;Acinetobacter baumannii;Staphylococcus aureus;Enterococcus faecium;Pseudomonas aeruginosa;Enterobacter spp.",Clinical precedent is strong but rifamycin resistance is frequent
